Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Semantic Segmentation,ADE20K,ONE-PEACE,63.0,1.0,,[],2305.11172v1
Semantic Segmentation,ADE20K,InternImage-H,62.9,0.9975822050290135,,[],2211.05778v4
Semantic Segmentation,ADE20K,M3I Pre-training (InternImage-H),62.9,0.9975822050290135,,[],2211.09807v2
Semantic Segmentation,ADE20K,BEiT-3,62.8,0.995164410058027,,['ViT-Giant'],2208.10442v2
Semantic Segmentation,ADE20K,EVA,62.3,0.9830754352030947,,['ViT-Giant'],2211.07636v2
Semantic Segmentation,ADE20K,"ViT-Adapter-L (Mask2Former, BEiTv2 pretrain)",61.5,0.9637330754352031,,[],2205.08534v4
Semantic Segmentation,ADE20K,FD-SwinV2-G,61.4,0.9613152804642165,,['Swin-Transformer'],2205.14141v3
Semantic Segmentation,ADE20K,RevCol-H (Mask2Former),61.0,0.9516441005802708,,['CNN'],2212.11696v3
Semantic Segmentation,ADE20K,"MasK DINO (SwinL, multi-scale)",60.8,0.9468085106382979,,[],2206.02777v3
Semantic Segmentation,ADE20K,"ViT-Adapter-L (Mask2Former, BEiT pretrain)",60.5,0.9395551257253385,,[],2205.08534v4
Semantic Segmentation,ADE20K,"DINOv2 (ViT-g/14 frozen model, w/ ViT-Adapter + Mask2former)",60.2,0.9323017408123792,,[],2304.07193v2
Semantic Segmentation,ADE20K,SwinV2-G(UperNet),59.9,0.9250483558994197,,['Swin-Transformer'],2111.09883v2
Semantic Segmentation,ADE20K,FocalNet-L (Mask2Former),58.5,0.8911992263056093,,[],2203.11926v3
Semantic Segmentation,ADE20K,"ViT-Adapter-L (UperNet, BEiT pretrain)",58.4,0.8887814313346228,,[],2205.08534v4
Semantic Segmentation,ADE20K,RSSeg-ViT-L (BEiT pretrain),58.4,0.8887814313346228,,[],2212.13764v1
Semantic Segmentation,ADE20K,SegViT-v2 (BEiT-v2-Large),58.2,0.88394584139265,,[],2306.06289v2
Semantic Segmentation,ADE20K,SeMask (SeMask Swin-L FaPN-Mask2Former),58.2,0.88394584139265,,['Swin-Transformer'],2112.12782v3
Semantic Segmentation,ADE20K,SeMask (SeMask Swin-L MSFaPN-Mask2Former),58.2,0.88394584139265,,[],2112.12782v3
Semantic Segmentation,ADE20K,DiNAT-L (Mask2Former),58.1,0.8815280464216635,,"['Transformer', 'Neighborhood Attention']",2209.15001v3
Semantic Segmentation,ADE20K,HorNet-L (Mask2Former),57.9,0.8766924564796905,,[],2207.14284v3
Semantic Segmentation,ADE20K,Mask2Former (SwinL-FaPN),57.7,0.8718568665377177,,[],2112.01527v3
Semantic Segmentation,ADE20K,FASeg (SwinL),57.7,0.8718568665377177,,[],2204.01244v3
Semantic Segmentation,ADE20K,RR (BEiT-L),57.7,0.8718568665377177,,[],2204.01969v1
Semantic Segmentation,ADE20K,"MOAT-4 (IN-22K pretraining, single-scale)",57.6,0.8694390715667312,,[],2210.01820v2
Semantic Segmentation,ADE20K,"Frozen Backbone, SwinV2-G-ext22K (Mask2Former)",57.6,0.8694390715667312,,[],2211.02043v1
Semantic Segmentation,ADE20K,SeMask (SeMask Swin-L Mask2Former),57.5,0.8670212765957447,,['Swin-Transformer'],2112.12782v3
Semantic Segmentation,ADE20K,Mask2Former (SwinL),57.3,0.8621856866537717,,[],2112.01527v3
Semantic Segmentation,ADE20K,SenFormer (BEiT-L),57.1,0.8573500967117988,,[],2111.13280v2
Semantic Segmentation,ADE20K,BEiT-L (ViT+UperNet),57.0,0.8549323017408124,,['Transformer'],2106.08254v2
Semantic Segmentation,ADE20K,"SeMask(SeMask Swin-L MSFaPN-Mask2Former, single-scale)",57.0,0.8549323017408124,,[],2112.12782v3
